OrderID,Product,Category,Quantity,Price,Cost,Date,Revenue,Profit
1,Laptop,Electronics,2,3000,2500,1/1/2024,6000,3500
2,Mouse,Accessories,1,50,20,1/2/2024,50,30
3,Keyboard,Accessories,3,450,60,1/3/2024,1350,1290
4,Monitor,Electronics,1,800,600,1/4/2024,800,200
7,Mouse,Accessories,1,50,20,1/7/2024,50,30
8,Keyboard,Accessories,3,100,60,1/8/2024,300,240
10,Laptop,Electronics,2,3000,2500,1/10/2024,6000,3500
11,Headphones,Accessories,2,450,40,1/11/2024,900,860
12,Charger,Accessories,1,25,10,1/12/2024,25,15
14,Mouse,Accessories,4,50,600,1/14/2024,200,-400
15,Keyboard,Accessories,2,100,60,1/15/2024,200,140
17,Laptop,Electronics,2,3000,2500,1/17/2024,6000,3500
18,Monitor,Electronics,1,800,600,1/18/2024,800,200
19,Mouse,Accessories,1,50,20,1/19/2024,50,30
20,Keyboard,Accessories,3,100,60,1/20/2024,300,240
21,Tablet,Electronics,2,1500,1200,1/21/2024,3000,1800
22,Charger,Accessories,1,25,600,1/22/2024,25,-575
23,Laptop,Electronics,0,3000,2500,1/23/2024,0,-2500
25,Keyboard,Accessories,1,100,60,1/25/2024,100,40
26,Monitor,Electronics,1,450,600,1/26/2024,450,-150
27,Headphones,Accessories,2,80,600,1/27/2024,160,-440
29,Tablet,Electronics,1,1500,1200,1/29/2024,1500,300
